Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Tester,QA Tester,Gonet,"Mérida, Yuc.",hace 19 días,"ISC, IC, LI, LTI, ITIC, TSU.
Tester funcional con experiencia trabajando bajo Scrum.
Pruebas de aplicaciones o portales Web.","$20,000 - $25,000 al mes",3.9
Tester,Engineering Intern,Intel,"Guadalajara, Jal.",Hoy,"This position provides a challenging technical opportunity to work in a multidisciplinary team responsible for projects enabling hardware, software and firmware…","$40,000 - $60,000 al mes",4
Tester,STRONG JUNIOR QA TESTER,Svitla Systems,Remoto,hace 30+ días,"Svitla Systems Inc. is looking for a Strong Junior QA Tester for a full-time position (40 hours per week) in Mexico.
2+ years of experience as a Manual Tester.","$8,000 - $20,000 al mes",3.5
Tester,Manufacturing & Quality Tester,ABB,"San Luis Potosí, S. L. P.",hace 5 días,"You will lead testing and checking activities during the manufacturing process.
Reporting to the Quality Control Manager, you will perform tests and checks by…","$15,000 - $20,000 al mes",3.7
Tester,Software Developer & Tester Engineer,TELUS International,+1 ubicaciónRemoto,hace 1 día,"They do this with code, of course, building secure software from the start.
This team member supports the build, test, deployment and operation of applications.","$10,000 - $15,000 al mes",3.5
Tester,Tester,VASS,"Querétaro, Qro.",hace 30+ días,,"$40,000 - $60,000 al mes",3.9
Tester,Functional Tester,GTA Telecom de México,Remoto,hace 30+ días,"We offer competitive salaries in US dollars, visa sponsoring, excellent work environment and professional growth.
Ability to document and troubleshoot errors.","$30,000 - $35,000 al mes",3.9
Tester,Manual Tester,NearShore Technology,Remoto,hace 30+ días,"2+ yrs of experience as Functional Tester.
Ability to create and execute complex test plans.
Good experience using bug tracking tools.","$40,000 - $60,000 al mes",3.7
Tester,Tester QA,Disruptive Studio,Remoto,hace 30+ días,"Las responsabilidades incluyen el diseño y la ejecución de pruebas, la depuración y la definición de acciones correctivas.
§ Pruebas de integración de la API.","$15,000 - $20,000 al mes",3.9
Tester,Automation Tester,IBM,"Guadalajara, Jal.+1 ubicación",hace 5 días,"As a Test Specialist at IBM, your analytical and technical skills will directly impact the quality of the software we create.","$40,000 - $60,000 al mes",4.5
