Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador Jr.,Desarrollador Android Jr.,Sferea,"Coyoacán, CDMX•Remoto temporalmente",hace 1 día,"Carrera: Ingeniero o Licenciado en Sistemas Computacionales o a fin.
Experiencia 1 año en desarrollo con Android Studio y Java.","$16,000 al mes",3.7
Desarrollador Jr.,Backend Developer Jr,Yo recluto mx,"Miguel Hidalgo, CDMX•Remoto",hace 1 día,"1.- Lic. o Ing. en Sistemas, Informática, Computación o afín (Pasante o Titulado).
Conocimientos: Java, Maven, JavaScript, HTML, Spring, SpringBoot,…","$17,000 - $20,000 al mes",4.4
Desarrollador Jr.,Desarrollador Jr,Talento Estratégico,"Puebla, Pue.•Remoto",hace 12 días,"Desarrollo orientado en Java, PHP, Net, CSS, Bootstrap, Java Script, HTML5, Patrones de diseño, modelado de base de datos, SQL, Pruebas unitarias.","$15,000 al mes",4.5
Desarrollador Jr.,Desarrollador Web Jr,FORCE&TALENT,"Saltillo, Coah.•Remoto temporalmente",hace 16 días,"Analista Desarrollador junior o intermedio.
NET (C#, ASP, Web Services, HTML, XML, Javascript).
Análisis de Requerimientos (en base a lo definido por el líder).","$20,000 - $40,000 al mes",3.7
Desarrollador Jr.,Desarrollador Java Jr.,Yo recluto mx,"Miguel Hidalgo, CDMX•Remoto",hace 1 día,"1.Lic. o Ing. en en Sistemas, Informática, Computación, ciencias computacionales (Pasante o titulado).
Java, Maven, JavaScript, HTML, Spring, SpringBoot, Jquery…","$17,000 - $20,000 al mes",3.9
Desarrollador Jr.,DESARROLLADOR JR,"RT4 MÉXICO, S.A. DE C.V.","Colonia Polanco, CDMX•Remoto temporalmente",hace 14 días,"En *RT4 México* somos un equipo de ingenieros, consultores y especialistas con gran experiencia en el sector de comunicaciones empresariales.","$10,000 - $12,000 al mes",3.6
Desarrollador Jr.,Desarrollador Jr,Garantiplus,"Guadalajara, Jal.",hace 2 días,"Experiencia mínima de 3 años en el desarrollo de aplicaciones.
Experiencia utilizando algún lenguaje y framework de los siguientes: Java/Spring, .","$18,000 - $22,000 al mes",3.6
Desarrollador Jr.,Desarrollador Web Jr.,UNIBECARIOS,"Miguel Hidalgo, CDMX",hace 14 días,"Conocimiento en Wordpress, PHP, MySQL, CSS, JavaScript, Boostrop.
Experiencia de 6 meses en actividades similares (Diseño y Programación de Páginas Web).","$10,000 - $12,000 al mes",3.8
Desarrollador Jr.,Programador Jr,Multimedios,"Monterrey, N. L.•Remoto temporalmente",hace 24 días,"Experiencia Mínima de 1 año en actividades relacionadas (Cuenta practicas profesionales).
*Conocimientos: Javascript, PHP, JQuery, React SQL, CSS, HTML5,…","$10,000 - $12,000 al mes",3.9
Desarrollador Jr.,Desarrollador Web JR,GT servicios,"Tepotzotlán, Méx.",hace 7 días,"Estudios: Licenciatura/Ingeniería en Ciencias de la Computación o afín.
Conocimiento deseable en lenguajes de programación: HTML5, PHP5, CCS3, XML, , JavaScript…","$7,000 - $10,000 al mes",3.9
