Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
GerenteTI,Gerente de Auditoria TI,Servicio Latam COMX,"Álvaro Obregón, CDMX•Remoto",hace 26 días,"Debe contar con nivel de Inglés avanzado, *Certificación CISA, CRISC (deseable).
\* Revisión o realización de reportes SOC (SSAE18 o ISAE3402).","$50,000 - $65,000 al mes",4.2
GerenteTI,Recepcionista / Asistente de Dirección,Palo Tinto Networks,"Cuajimalpa, CDMX",Recién publicado,"Manejo de conmutador, control y mantenimiento de insumos.
Servicio de comedor con descuento.","$10,000 al mes",3.7
GerenteTI,Gerente de Cuenta / Ejecutivo Comercial,Bluehill.dev,"Monterrey, N. L.",hace 14 días,"Tu responsabilidad será desarrollar y ejecutar una estrategia comercial de prospección, seguimiento y cierre de las metas comerciales de facturación en…","$20,000 - $40,000 al mes",3.7
GerenteTI,Coordinador/a del Proyecto Innovaciones en el Periodismo par...,The Institute for War and Peace Reporting,Desde casa,hace 30+ días,"Reportará al Gerente de Periodismo Regional y Programas de Medios.
Fortalecer el marco organizacional de la Oficina para América Latina y el Caribe de IWPR …","$2,500 - $3,200 al mes",4
GerenteTI,Gerente de Marketing,Viajes Lili,"Tlaquepaque, Jal.",hace 15 días,Proponer acciones y estrategias para impulsar el marketing digital y aprovechar nuestra tecnología en sistemas de reservaciones.,"$20,000 - $27,000 al mes",3.9
GerenteTI,Gerente de Ventas,AMG Talent,"Miguel Hidalgo, CDMX",hace 27 días,"Realizar el seguimiento del estatus del presupuesto de ventas nuevas y recurrentes, con el objetivo de cumplir la meta mensual y anual propuesta por la compañía…","$30,000 al mes",3.6
GerenteTI,Gerente de Seguridad de la Información/SECURITY INFORMATION...,Manufactura Artes Graficas,"Monterrey, N. L.",hace 29 días,"Supervisar la administración del control de acceso a la información.
*Titulado* carrera Ingeniería en Sistemas o afín al puesto.","$35,000 - $40,000 al mes",3.7
GerenteTI,Gerente de Sistemas,SIGMA DESARROLLO,"Mazatlán, Sin.",hace 30+ días,"Mantenerse al día con las nuevas tecnologías.
Administrar las políticas y la documentación de los sistemas de información, incluidas las estrategias de respaldo…","$9,849 - $15,000 al mes",3.7
GerenteTI,Coordinador de Administración de Personal,Grupo CONSURH,"Xalapa, Ver.",hace 6 días,"Asegurar el cálculo correcto de los pagos por sueldos y salarios a los trabajadores de la organización, procesando la información de manera adecuada.","$10,000 al mes",3.7
GerenteTI,Gerente de Consultoría y Auditoría IT,"Talent Center Institute, S.C.","Monterrey, N. L.",hace 30+ días,"Conocimientos generales en COBIT, ITIL o ISO27001, Deseable: ERP, (SAP, ORACLE, JDE, People Soft, MS Dynamics).","$50,000 al mes",4.1
GerenteTI,Gerente de TI,IDTALENTO,"Mérida, Yuc.",hace 3 días,"Gestión de tecnologías de información y desarrollo de sistemas.
Licenciatura concluida en Tecnologías de Información con Maestría en Ingeniería de Sistemas o…","$35,000 al mes",4
GerenteTI,Gerente Comercial de Producto Redes y Seguridad,Grupo Vadeto,"Zapopan, Jal.",hace 12 días,Definir las estrategias para el desarrollo de las marcas.,"$30,000 al mes",3.9
GerenteTI,Jefe de Sistemas,ACERO VENTAS MA SA DE CV,"Reynosa, Tamps.",hace 7 días,"Administración de tecnologías de Cisco Meraki Firewall, Switch capa 3, VLan's, Fortinet.
Soporte a Servidores, DHCP, ACTIVE DIRECTORY ambiente Windows Server,…","$24,000 al mes",4.1
GerenteTI,Asistente Operativo,CERTA RH,"Hermosillo, Son.",hace 7 días,"Experiencia mínima de 3 años en el área de operaciones o mantenimiento general, tecnologías de información y manejo de personal.","$12,000 - $14,000 al mes",4.2
GerenteTI,Gerente de Producción,Sushimi,"Tijuana, B.C.",hace 8 días,"Experiencia en la utilización de tecnologías de la información.
Conocimientos sobre manejo de personal y conocer como delegar correcta y efectivamente…","$3,000 - $3,500 por semana",4.3
GerenteTI,Encargado de Nóminas,Grupo HYDRO,"Escobedo, N. L.",hace 4 días,Recibe por correo del Jefe de Recursos Humanos los archivos de las incidencias de los empleados del grupo de manera semanal para su aplicación en el sistema de…,"$16,000 - $18,000 al mes",4.2
GerenteTI,Supervisor de Soporte de Ventas,Ecolab,"Monterrey, N. L.",hace 30+ días,"Puede priorizar las solicitudes de varios gerentes o supervisores y un número significativo de asociados.
Realizar una variedad de actividades administrativas /…","$27,000 al mes",4.2
GerenteTI,Jefe de Contabilidad,Megacable,"Salamanca, Gto.",hace 30+ días,"Supervisar, y en su caso efectuar en lo personal, todas las operaciones inherentes al proceso del registro y control de la información contable de los ingresos…","$10,000 - $12,000 al mes",4.2
GerenteTI,Gerente de Software y Aplicaciones,Hospital San Ángel Inn,"Benito Juárez, CDMX",hace 27 días,1.Entender la naturaleza compleja de las tecnologías de información en salud para soportar las operaciones de un grupo corporativo de 5 hospitales basadas en el…,"$35,000 al mes",4.1
GerenteTI,Gerente de Administración (giro financiero),Virtual 5,"Puebla, Pue.",hace 18 días,"Licenciatura terminada en administración, banca, ingeniería industrial, sistemas o áreas afines.
Preparar, ejecutar y presentar propuestas de mejora para…","$25,000 al mes",4.4
GerenteTI,Ecommerce Manager,Pronamet,"Tepotzotlán, Méx.",Recién publicado,"Correcto uso de herramientas y tecnologías digitales.
Conocimientos en tecnología y medios digitales.
Capacidad de análisis, recolección e interpretación de…","$10,000 - $11,000 al mes",3.7
GerenteTI,Gerente de SAP con Ingles Avanzado,GA GROUP,"Xonacatlán, Méx.",hace 15 días,"Gerente de SAP con Ingles Avanzado *.
Conocimientos: *SAP en módulos PP,QM y MM, ingles avanzado.
Capacitación y soporte en el sistema SAP, manejo de datos para…","$45,000 al mes",3.6
GerenteTI,Gerente en Entrenamiento de TI y Administración,Raudal Footwear,"León, Gto.",hace 30+ días,"Competencias técnicas: * conocimiento en Power BI, power platform, Microsoft Azure, deseable conocimiento y /o experiencia en marcos agiles, conocimiento de…","$20,000 al mes",4.3
GerenteTI,Supervisor de Cuenta,Ecolab,"San José Iturbide, Gto.",hace 27 días,"Recopilar información mediante el estudio de los procesos de higiene dentro de las instalaciones de clientes y posibles clientes, preparar propuestas y…","$20,000 al mes",3.7
