Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador web,Desarrollador Net,Branchbit,"Tlalpan, CDMX",hace 20 días,"Plan de crecimiento personal y laboral.
Sql server y T-SQL.
Conocimiento orientado a micro servicios.","$25,000 - $30,000 al mes",3.9
Desarrollador web,Desarrollador junior,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 15 días,"I ngeniería, Licenciatura en Matemáticas Aplicadas, en Computación, Informática o área afín, titulado o pasante o con experiencia de al menos dos años en el…","$20,000 - $25,000 al mes",3.8
Desarrollador web,Desarrollador Fullstack PHP / JS,ZEHR,"Cuauhtémoc, CDMX",hace 30+ días,"Trabajo con frameworks como Laravel.
Experiencia trabajando Frontend con HTML, CSS, Javascript, React deseable.","$35,000 - $40,000 al mes",4.2
Desarrollador web,Desarrollador .net,Estrategia Tecnologica,"Benito Juárez, CDMX",hace 30+ días,Desarrollo de aplicaciones web para diferentes clientes como para la intranet de la empresa.,"$15,000 - $20,000 al mes",4
Desarrollador web,Buscamos Desarrollador Web,True Talent,"Cuajimalpa, CDMX",hace 30+ días,"Manejo de Aplicativos, interfases y conexiones entre diferentes sistemas web y no web mediante conexiones JSON y SQL.
Conocimiento en HTML5, C#/ VB.NET .","$20,000 - $25,000 al mes",3.7
Desarrollador web,Desarrollador,Murguía Consultores,"Álvaro Obregón, CDMX",hace 7 días,"3 Desarrollo y consumo de servicio web (rest soap).
2 Manejo de base de datos SQL Server, vistas stored procedures.
HTML5, CSS3, JS (medio-avanzado).","$25,000 - $30,000 al mes",3.4
Desarrollador web,Desarrollador/a PHP Fullstack,AVANTIKA,"Huixquilucan, Méx.",hace 30+ días,"Manejo de sistemas de Gestión en la seguridad de la informacio?n, administracio?n de Firewall, antivirus, sistemas operativos Windows, Linux y Android.","$20,000 - $25,000 al mes",
Desarrollador web,Desarrollador JAVA,VMLY&R,+1 ubicaciónRemoto,hace 10 días,"Conocimiento avanzado de creación SOA (REST/SOAP).
Conocimiento avanzado de Java 8 - 11, JEE API.
Experiencia en proyectos regionales y locales.","$45,000 - $50,000 al mes",4.5
Desarrollador web,Desarrollador .NET,Pypol Soluciones,"Miguel Hidalgo, CDMX•Remoto",hace 30+ días,"Análisis, diseño y programación de aplicaciones cliente-servidor y aplicaciones web y APIs.
NET Bilingüe (Home Office) para trabajar con uno de sus principales…","$50,000 - $60,000 al mes",3.7
Desarrollador web,desarrollador web,Randstad,"Querétaro, Qro.",hace 2 días,"detalles randstad mexico staffing $30,000 - $40,000, por mes, Negotiable tiempo completo tiempo completo área de especialización tecnología informática…","$30,000 - $40,000 al mes",3.6
Desarrollador web,DESARROLLADOR PL/SQL BANNER.,Ectotec,"Miguel Hidalgo, CDMX",hace 30+ días,"Estamos en búsqueda de DESARROLLADOR PL/SQL BANNER.
Experiencia en alguno de los módulos principales de Banner, Estudiante o Cuentas por Cobrar.","$30,000 - $35,000 al mes",3.6
Desarrollador web,Desarrollador React Native,Ulfix,Remoto,hace 30+ días,"Hacer la transición de las aplicaciones web React existentes a React Native.
Estamos buscando un desarrollador de React Native interesado en crear aplicaciones…","$35,000 - $40,000 al mes",4.2
Desarrollador web,Desarrollador Net,MexInc,"Guadalajara, Jal.",hace 30+ días,"Experiencia: diseño y desarrollo de servicios C #, desarrollo de servicios web .
Diseño y desarrollo de servicios C #, experiencia en el desarrollo de servicios…","$50,000 - $60,000 al mes",3.6
Desarrollador web,Desarrollador .NET,Ulfix,"Miguel Hidalgo, CDMX",hace 30+ días,"NET o desarrollador de aplicaciones.
NET para producir soluciones de software escalables.
Formarás parte de un equipo multifuncional que es responsable del…","$25,000 - $30,000 al mes",
Desarrollador web,Desarrollador Back End Java Master,BADAK,"Coyoacán, CDMX",hace 17 días,"Badak es una importante compañía de tecnología, la cual busca miembros talentosos, apasionados y comprometidos.
Nos encontramos en búsqueda de un:","$35,000 - $40,000 al mes",3.7
Desarrollador web,Desarrollador .Net,CPIM GROUP,Remoto,hace 22 días,"Empresa de tecnología global de próxima generación que ayuda a las empresas a reinventar sus negocios para la era digital.
Se encuentra en búsqueda de:","$35,000 - $40,000 al mes",4
Desarrollador web,Desarrollador Java,Aumenta Software Development,Remoto,hace 30+ días,"Knowledge of Unix commands, Tomcat web server.
Software development and consulting company requires highly motivated software professionals to develop in a…","$30,000 - $35,000 al mes",
Desarrollador web,Fullstack,Disruptive Studio,Remoto,hace 30+ días,"Los desarrolladores Full Stack abordan el software de forma holi?stica, ya que se ocupan tanto de la experiencia del usuario como de la funcionalidad.","$30,000 - $35,000 al mes",3.8
Desarrollador web,Front End React,Disruptive Studio,Remoto,hace 30+ días,"Los desarrolladores de frontend son programadores informa?ticos especializados en el disen?o de pa?ginas web.
Maquetacio?n mo?vil / web, incluyendo HTML5 y CSS3…","$25,000 - $30,000 al mes",4.4
Desarrollador web,Desarrolladora Semi SR,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 9 días,".Net en c#, SQL server, versionador del código, programador servicios web,facturacion XML, ,Net 2012, visual studio, UX.","$25,000 - $30,000 al mes",3.7
Desarrollador web,Desarrollador .NET,Human Team and Technology,"Cuajimalpa, CDMX",hace 12 días,Servicios Web (Soap y REST).,"$30,000 - $35,000 al mes",
Desarrollador web,Desarrollador JAVA J2EE,Integra-T,Remoto,hace 30+ días,"Desarrollador Java J2ee Ingles Avanzado C, TPF, Microservices, DB2, GIT, Jira, Confluence, Programming Language: Java core J2EE (Strong), Scripting…","$60,000 - $70,000 al año",4
Desarrollador web,WEBGL,DESYSNET Consultores TI,"Gustavo A. Madero, CDMX",hace 2 días,"Renderizado: Canvas, Three.js, Babylon.js, Fabric.js, sockets web de Node.js de renderizado de gráficos 3D, dibujo de gráficos WebGL pixi.js, API renderizada en…","$60,000 - $70,000 al año",
Desarrollador web,Backend Developer,Disruptive Studio,Remoto,hace 30+ días,"Trabajar con desarrolladores de front-end y full stack.
Crear plataformas y nuevas herramientas de software asociadas a las tecnologías de blockchain y machine…","$35,000 - $40,000 al mes",3.6
Desarrollador web,Desarrollador Java,Cloudco,"Cuauhtémoc, CDMX",hace 30+ días,"Desarrolladores que estén interesados en conocer sobre Tecnologías Cloud Computing.
Conocimientos en programación orientada a objetos Java o Python.","$10,000 - $15,000 al mes",3.6
