Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Cientifico de Datos,Actuario con experiencia como Cientifico de datos de negocio...,Exitus Credit Sapi de CV SOFOM ENR,"Cuajimalpa, CDMX",hace 30+ días,"Sueldo base $16,000 mensual libre.
Lic. en actuaria o ingenieri?a industrial.
Manejo avanzado en programacio?n de R, SQL, y Python para soportar la realizacio?n…","$16,000 al mes",4
Cientifico de Datos,Científico de Datos,COPPEL,"Miguel Hidalgo, CDMX",hace 30+ días,"Deseable: 2 años como Científico de Datos, Analista de Datos o equivalente con experiencia en Big Data y minería de Datos, o 2 años como Actuario con…","$16,000 al mes",4.1
Cientifico de Datos,Científico de Datos,Grupo CODA,"Tlalpan, CDMX",hace 21 días,"Conocimiento en el análisis de datos con métodos estadísticos.
Conocimiento Python, Java, SQL, R, o en Javascript.","$16,000 al mes",4.1
Cientifico de Datos,Ingeniero Mecatronico,Laboratorios pisa,"Guadalajara, Jal.",hace 30+ días,"Proponer con fundamentos técnicos, científicos y regulatorios la ejecución de calificaciones/validaciones de instalaciones, servicios, equipos y procesos con…","$16,000 al mes",2.9
Cientifico de Datos,Científico de Datos (DA-Data Analytics),AT&T,"Cuauhtémoc, CDMX•Remoto temporalmente",hace 30+ días,"Disminuir los costos de recopilar, administrar y compartir datos al mismo tiempo que aumenta el valor de los datos.","$16,000 al mes",
Cientifico de Datos,Cientifico de Datos,Vectux Analytics S.A de C.V.,"Cuajimalpa, CDMX•Remoto",hace 30+ días,"Identificar el conjunto de datos apropiado que se requiere para desarrollar modelos simples y complejos.
Realizar análisis de tendencias y grupos de datos para…","$12,000 - $16,000 al mes",4.2
Cientifico de Datos,Especialista técnico y de documentación,Pisa Agropecuaria,"Guadalajara, Jal.",Recién publicado,"Recopilar información científica en temas médicos y de bioseguridad.
Elaborar fichas, notas y artículos técnico-científico de los productos.","$13,000 - $14,000 al mes",4.2
Cientifico de Datos,Ingeniero para Maquinaria y Proceso de Fabricacion,Pharmaceuticals and Supplements INC,"Zapopan, Jal.+1 ubicación",hace 12 días,"Proponer con fundamentos técnicos, científicos y regulatorios la ejecución de calificaciones y validaciones de instalaciones, servicios, equipos y procesos con…","$13,000 - $14,000 al mes",4.3
Cientifico de Datos,Cientifico de Datos,Hatchers,Remoto,hace 30+ días,"El puesto involucra desarrollar y diseñar modelos matemáticos.
Estudios relacionados a matemáticas y/o física.
Vacaciones bajo demanda sin restricciones.","$30,000 - $35,000 al mes",
Cientifico de Datos,Científico de datos,"Penguin Random House Grupo Editorial, S.A. de C.V.",Ciudad de México,hace 20 días,Analizar los datos disponibles de nuestro data warehouse así como fuentes externas con el fin de identificar patrones significativos y relevantes en los datos.,"$30,000 - $35,000 al mes",
Cientifico de Datos,"Sr Customer Representative, Sales",MSD,Ciudad de México,hace 6 días,"Habilidad para interpretar una amplia variedad de instrucciones técnicas por escrito y de manera oral.
Manejo de computación (Office: Excel, Power Point, Word).","$35,000 - $40,000 al mes",3.7
Cientifico de Datos,COORDINADOR CIENTIFICO DE DATOS,Tienda NEto,"Cuajimalpa, CDMX",hace 26 días,"Manejo de datos(SQL), Desarrollo Modelos(Python, R, Datarobot).
Estudios en Ciencia de Datos, Ingeniería en Sistemas, Matemáticas, Estadística, Ciencias de la…","$35,000 - $40,000 al mes",
Cientifico de Datos,CIENTIFICO DE DATOS,Estrategia Tecnologica,"Cuauhtémoc, CDMX",hace 30+ días,"Avanzado en programación de SQL, R, Python, Julia, Scala, SPSS Statistics o SPSS Modeler: para soportar la realización de proyectos analíticos.","$40,000 - $45,000 al mes",
Cientifico de Datos,Ingeniero de datos,Disruptive Studio,Remoto,hace 30+ días,"Preparar datos para modelos predictivos y prescriptivos.
Usa datos para descubrir tareas que pueden automatizarse.","$35,000 - $40,000 al mes",4.1
Cientifico de Datos,Científico de Datos,INFOFAM,"Azcapotzalco, CDMX",hace 30+ días,"Modelar e implementar soluciones para problemas, identificar oportunidades de mejora, mediante uso de diferentes técnicas estadísticas, algorítmicas, de minería…","$45,000 - $50,000 al mes",
Cientifico de Datos,INTERN DE REGULATORY COMPLIANCE (TEMPORAL 12 MESES),Johnson & Johnson Family of Companies,Ciudad de México,hace 30+ días,Estamos buscando al mejor talento para la posición INTERN DE REGULATORY COMPLIANCE (TEMPORAL 12 MESES) que estará localizada en la Ciudad de México (No Aplica…,"$45,000 - $50,000 al mes",4.2
Cientifico de Datos,Científico de datos,Page Personnel México,Ciudad de México,hace 30+ días,"Analizar y procesar datos a través de herramientas matemáticas.
Bases de datos y cruces de información.
SQL : Para el manejo de base de datos relacionales.","$40,000 - $45,000 al mes",3.6
Cientifico de Datos,AUXILIARY TECHNICIAN,Diageo,"Ciudad Obregón, Son.",hace 5 días,Supervisar y monitorear todos los capos de agave con una metodología científica de manera estandarizada y sistemática.,"$40,000 - $45,000 al mes",
Cientifico de Datos,ANALISTA DE VALIDACION,LABORATORIOS PISA,"Tlajomulco, Jal.",hace 18 días,"Dar soporte técnico a Ingeniería y/o a usuarios durante los proyectos de nuevas instalaciones, equipos o procesos.","$45,000 - $50,000 al mes",4.2
Cientifico de Datos,Administrador de base de datos Sql server,Subastas Ventura,"Cuajimalpa, CDMX",hace 30+ días,"Crear y configurar bases de datos relacionales.
Responsable de los aspectos técnicos, tecnológicos, científicos, inteligencia de negocios y legales de bases de…","$45,000 - $50,000 al mes",
Cientifico de Datos,Líder de Proyecto,"Compañía Mexicana de Exploraciones, S.A. de C.V.","Villahermosa, Tab.",hace 27 días,"Experiencia de 10 años demostrable en procesamiento de datos sísmicos.
Un Líder de Proyecto de datos sísmicos terrestres PSTM 3D se encargará de supervisar la…","$50,000 al mes",4
Cientifico de Datos,Analista de Datos Data Studio Tester Junior,Training Talent,"Benito Juárez, CDMX",hace 2 días,"Analista de base de datos, consultor data science, científico de datos Junior, analista big data Junior, consultor de base de datos, analista estadístico, big…","$15,000 al mes",2.5
Cientifico de Datos,DATA SCIENTIS 2 AÑOS DE EXPERIENCIA PARA EL SECTOR BANCARIO,Indigo IT,"Benito Juárez, CDMX",hace 30+ días,"Tecnologías: SQL, R, Phyton, Julia, Scala, SPSS Stadistics, SPSS Modeler.
Experiencia mínima de 2 años en un puesto similar como analista de Sistemas,…","$30,000 - $31,000 al mes",
Cientifico de Datos,Data Modeler,Lease This,"Miguel Hidalgo, CDMX",hace 30+ días,"El ingeniero de datos apoyará a nuestros desarrolladores de software, arquitectos de bases de datos, analistas de datos y científicos de datos en las…","$30,000 - $35,000 al mes",4.1
Cientifico de Datos,Data Scientist/ Business Analyst,Acute-Talent,"Cuauhtémoc, CDMX•Remoto temporalmente",hace 18 días,"Más de 5 años de experiencia laboral comprobada en el puesto de analista de negocios o científico de datos.
Buscamos un *Data Scientist/ Business Analyst * con…","$40,000 - $45,000 al mes",4.2
Cientifico de Datos,Promotora de Medicamentos de Especialidades,SGM,"Miguel Hidalgo, CDMX",hace 20 días,"Manejo bases de datos Excel, y comunicación en TEAMS.
Ventas de medicamentos en hospitales de gobierno (Deseable).
Cuente con auto propio (Licencia vigente).","$10,000 - $14,000 al mes",4.3
Cientifico de Datos,Desarrollador PHP,GDC DIFUSION CIENTIFICA S.A. DE C.V.,"Benito Juárez, CDMX",hace 30+ días,"Sólidos conocimientos en PHP (Front y Backend), JavaScript,.
Desarrollo de páginas web (PHP, CSS4, Ajax, Bootstrap, JQuery).","$15,000 - $16,000 al mes",3.6
